Entry	Entry Name	Protein names	Gene Names	Length	Pathway	Gene Ontology (biological process)	Gene Ontology IDs
A0A3S0ZVB1	A0A3S0ZVB1_ELYCH	Uncharacterized protein	EGW08_005530	267			
A0A3S0ZVB3	A0A3S0ZVB3_ELYCH	RPA43 OB domain-containing protein	EGW08_004611	224		DNA-templated transcription initiation [GO:0006352]	GO:0005634; GO:0006352
A0A3S0ZVB5	A0A3S0ZVB5_ELYCH	Uncharacterized protein	EGW08_016098	226			GO:0016020
A0A3S0ZVB6	A0A3S0ZVB6_ELYCH	Uncharacterized protein	EGW08_008458	101			
A0A3S0ZVC2	A0A3S0ZVC2_ELYCH	Uncharacterized protein	EGW08_004625	542			GO:0016702; GO:0046872
A0A3S0ZVC5	A0A3S0ZVC5_ELYCH	Uncharacterized protein	EGW08_008430	142			GO:0016020
A0A3S0ZVC7	A0A3S0ZVC7_ELYCH	Uncharacterized protein	EGW08_005438	118			
A0A3S0ZVD0	A0A3S0ZVD0_ELYCH	Carbohydrate-binding domain-containing protein	EGW08_004578	344			
A0A3S0ZVD5	A0A3S0ZVD5_ELYCH	Secreted protein	EGW08_016074	146			GO:0016020
A0A3S0ZVD7	A0A3S0ZVD7_ELYCH	Uncharacterized protein	EGW08_005457	206		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074
A0A3S0ZVD8	A0A3S0ZVD8_ELYCH	ABC transmembrane type-1 domain-containing protein	EGW08_004523	110			GO:0016020
A0A3S0ZVE1	A0A3S0ZVE1_ELYCH	Uncharacterized protein	EGW08_008401	825			
A0A3S0ZVE2	A0A3S0ZVE2_ELYCH	Uncharacterized protein	EGW08_005408	534			
A0A3S0ZVE6	A0A3S0ZVE6_ELYCH	MATH domain-containing protein	EGW08_005425	465			
A0A3S0ZVE8	A0A3S0ZVE8_ELYCH	GDP/GTP exchange factor Sec2 N-terminal domain-containing protein	EGW08_008359	556			GO:0005085
A0A3S0ZVF1	A0A3S0ZVF1_ELYCH	Uncharacterized protein	EGW08_004545	326			GO:0005272; GO:0016020
A0A3S0ZVF3	A0A3S0ZVF3_ELYCH	Uncharacterized protein	EGW08_016042	150			
A0A3S0ZVF5	A0A3S0ZVF5_ELYCH	G-protein coupled receptors family 1 profile domain-containing protein	EGW08_008374	295			GO:0004930; GO:0016020
A0A3S0ZVG1	A0A3S0ZVG1_ELYCH	Thioredoxin-like fold domain-containing protein	EGW08_004556	587			GO:0016020
A0A3S0ZVG2	A0A3S0ZVG2_ELYCH	Intraflagellar transport protein 46 homolog	EGW08_008327	241		intraciliary transport [GO:0042073]	GO:0005737; GO:0005856; GO:0005929; GO:0042073
A0A3S0ZVG5	A0A3S0ZVG5_ELYCH	Laccase	EGW08_016021	715			GO:0005507; GO:0016491
A0A3S0ZVG8	A0A3S0ZVG8_ELYCH	IF rod domain-containing protein	EGW08_005366	583			GO:0005882
A0A3S0ZVH0	A0A3S0ZVH0_ELYCH	Uncharacterized protein	EGW08_008342	95			
A0A3S0ZVH1	A0A3S0ZVH1_ELYCH	Major facilitator superfamily (MFS) profile domain-containing protein	EGW08_004482	445			GO:0016020; GO:0022857
A0A3S0ZVH5	A0A3S0ZVH5_ELYCH	Uncharacterized protein	EGW08_016003	361		autophagy [GO:0006914]	GO:0006914; GO:0019787
A0A3S0ZVH8	A0A3S0ZVH8_ELYCH	NR LBD domain-containing protein	EGW08_005308	322			GO:0005634
A0A3S0ZVI0	A0A3S0ZVI0_ELYCH	Uncharacterized protein	EGW08_008300	1828			
A0A3S0ZVI1	A0A3S0ZVI1_ELYCH	FAD-binding PCMH-type domain-containing protein	EGW08_004501	212			GO:0071949
A0A3S0ZVI2	A0A3S0ZVI2_ELYCH	Uncharacterized protein	EGW08_015986	332			
A0A3S0ZVI4	A0A3S0ZVI4_ELYCH	VWFC domain-containing protein	EGW08_005329	723			
A0A3S0ZVI8	A0A3S0ZVI8_ELYCH	Uncharacterized protein	EGW08_008271	200			
A0A3S0ZVJ0	A0A3S0ZVJ0_ELYCH	Fibrinogen C-terminal domain-containing protein	EGW08_015981	372			
A0A3S0ZVJ1	A0A3S0ZVJ1_ELYCH	Uncharacterized protein	EGW08_004442	293			
A0A3S0ZVJ3	A0A3S0ZVJ3_ELYCH	BTB domain-containing protein	EGW08_005273	676			
A0A3S0ZVJ5	A0A3S0ZVJ5_ELYCH	Uncharacterized protein	EGW08_008244	388		monoatomic ion transport [GO:0006811]	GO:0006811; GO:0016020
A0A3S0ZVJ6	A0A3S0ZVJ6_ELYCH	SAM domain-containing protein	EGW08_005291	609			
A0A3S0ZVK0	A0A3S0ZVK0_ELYCH	SAP domain-containing protein	EGW08_004462	262			
A0A3S0ZVK3	A0A3S0ZVK3_ELYCH	Hexosyltransferase	EGW08_008257	420			
A0A3S0ZVK6	A0A3S0ZVK6_ELYCH	Uncharacterized protein	EGW08_005219	264			
A0A3S0ZVK9	A0A3S0ZVK9_ELYCH	BZIP domain-containing protein	EGW08_004412	455			GO:0003677; GO:0003700
A0A3S0ZVL0	A0A3S0ZVL0_ELYCH	Uncharacterized protein	EGW08_005240	610			
A0A3S0ZVL2	A0A3S0ZVL2_ELYCH	Translocator protein	EGW08_008202	165			GO:0016020
A0A3S0ZVL4	A0A3S0ZVL4_ELYCH	Uncharacterized protein	EGW08_015926	182			
A0A3S0ZVL7	A0A3S0ZVL7_ELYCH	EXPERA domain-containing protein	EGW08_004430	213			GO:0016020
A0A3S0ZVL9	A0A3S0ZVL9_ELYCH	Transmembrane protein 203	EGW08_008219	131			GO:0016020
A0A3S0ZVM3	A0A3S0ZVM3_ELYCH	DBC1/CARP1 catalytically inactive NUDIX hydrolase domain-containing protein	EGW08_015896	1195		regulation of DNA-templated transcription [GO:0006355]	GO:0005737; GO:0006355
A0A3S0ZVM5	A0A3S0ZVM5_ELYCH	SCP domain-containing protein	EGW08_004383	489			
A0A3S0ZVM6	A0A3S0ZVM6_ELYCH	RING-type domain-containing protein	EGW08_008177	321			GO:0046872
A0A3S0ZVM7	A0A3S0ZVM7_ELYCH	Protein FAM221B	EGW08_005190	356			
A0A3S0ZVN1	A0A3S0ZVN1_ELYCH	Stabilizer of axonemal microtubules 2	EGW08_015884	467			GO:0008017
A0A3S0ZVN3	A0A3S0ZVN3_ELYCH	Golgin subfamily A conserved domain-containing protein	EGW08_005140	1021			GO:0005794
A0A3S0ZVN6	A0A3S0ZVN6_ELYCH	G-protein coupled receptors family 2 profile 2 domain-containing protein	EGW08_004402	143			
A0A3S0ZVN7	A0A3S0ZVN7_ELYCH	PWWP domain-containing protein	EGW08_008124	792			
A0A3S0ZVN9	A0A3S0ZVN9_ELYCH	EXPERA domain-containing protein	EGW08_015852	418			GO:0016020
A0A3S0ZVP0	A0A3S0ZVP0_ELYCH	Uncharacterized protein	EGW08_005151	295			
A0A3S0ZVP5	A0A3S0ZVP5_ELYCH	Potassium channel domain-containing protein	EGW08_004368	389			GO:0005267; GO:0016020
A0A3S0ZVP6	A0A3S0ZVP6_ELYCH	Uncharacterized protein	EGW08_005172	139			
A0A3S0ZVP7	A0A3S0ZVP7_ELYCH	Uncharacterized protein	EGW08_015866	201			GO:0016491
A0A3S0ZVQ0	A0A3S0ZVQ0_ELYCH	VWFD domain-containing protein	EGW08_008092	394			
A0A3S0ZVQ1	A0A3S0ZVQ1_ELYCH	Uncharacterized protein	EGW08_004324	199			
A0A3S0ZVQ2	A0A3S0ZVQ2_ELYCH	Uncharacterized protein	EGW08_015838	233			
A0A3S0ZVQ3	A0A3S0ZVQ3_ELYCH	Uncharacterized protein	EGW08_005115	170			
A0A3S0ZVQ6	A0A3S0ZVQ6_ELYCH	Cation/H+ exchanger domain-containing protein	EGW08_008109	504		proton transmembrane transport [GO:1902600]	GO:0015297; GO:0016020; GO:1902600
A0A3S0ZVQ7	A0A3S0ZVQ7_ELYCH	Uncharacterized protein	EGW08_015798	119			
A0A3S0ZVR6	A0A3S0ZVR6_ELYCH	Paired domain-containing protein	EGW08_015790	776		regulation of DNA-templated transcription [GO:0006355]	GO:0003677; GO:0005634; GO:0006355
A0A3S0ZVR7	A0A3S0ZVR7_ELYCH	Tyrosine-protein kinase ephrin type A/B receptor-like domain-containing protein	EGW08_008089	312			
A0A3S0ZVR8	A0A3S0ZVR8_ELYCH	VWFA domain-containing protein	EGW08_005086	207			
A0A3S0ZVR9	A0A3S0ZVR9_ELYCH	Uncharacterized protein	EGW08_004297	1665			
A0A3S0ZVS3	A0A3S0ZVS3_ELYCH	RRM domain-containing protein	EGW08_005012	244			GO:0003723
A0A3S0ZVS5	A0A3S0ZVS5_ELYCH	Uncharacterized protein	EGW08_015780	162			GO:0005634; GO:0005737
A0A3S0ZVT0	A0A3S0ZVT0_ELYCH	Uncharacterized protein	EGW08_004235	210			
A0A3S0ZVT2	A0A3S0ZVT2_ELYCH	Uncharacterized protein	EGW08_005023	101			
A0A3S0ZVT6	A0A3S0ZVT6_ELYCH	Protein SPEC3	EGW08_015744	222			GO:0016020
A0A3S0ZVT8	A0A3S0ZVT8_ELYCH	Uncharacterized protein	EGW08_004251	346			
A0A3S0ZVT9	A0A3S0ZVT9_ELYCH	Uncharacterized protein	EGW08_008047	123			GO:0016020
A0A3S0ZVU1	A0A3S0ZVU1_ELYCH	Uncharacterized protein	EGW08_005044	371			
A0A3S0ZVU5	A0A3S0ZVU5_ELYCH	G-protein coupled receptors family 1 profile domain-containing protein	EGW08_005060	429			GO:0004930; GO:0016020
A0A3S0ZVU7	A0A3S0ZVU7_ELYCH	Delta(24)-sterol reductase	EGW08_007978	311			
A0A3S0ZVU8	A0A3S0ZVU8_ELYCH	RRM domain-containing protein	EGW08_015734	123			GO:0003723; GO:0005634
A0A3S0ZVV5	A0A3S0ZVV5_ELYCH	Transcription factor CBF/NF-Y/archaeal histone domain-containing protein	EGW08_007995	360			GO:0046982
A0A3S0ZVV6	A0A3S0ZVV6_ELYCH	Macro domain-containing protein	EGW08_015715	342			
A0A3S0ZVV7	A0A3S0ZVV7_ELYCH	PX domain-containing protein	EGW08_004944	383			GO:0035091
A0A3S0ZVW3	A0A3S0ZVW3_ELYCH	Uncharacterized protein	EGW08_008008	688			
A0A3S0ZVW4	A0A3S0ZVW4_ELYCH	Uncharacterized protein	EGW08_015692	1521			GO:0005524; GO:0016020; GO:0016887; GO:0140359
A0A3S0ZVW5	A0A3S0ZVW5_ELYCH	Uncharacterized protein	EGW08_004958	262			
A0A3S0ZVW7	A0A3S0ZVW7_ELYCH	Sodium-dependent multivitamin transporter	EGW08_004201	576			GO:0016020; GO:0022857
A0A3S0ZVX1	A0A3S0ZVX1_ELYCH	G-protein coupled receptors family 1 profile domain-containing protein	EGW08_007967	390			GO:0004930; GO:0016020
A0A3S0ZVX3	A0A3S0ZVX3_ELYCH	Protein kinase domain-containing protein	EGW08_015683	151		autophagy [GO:0006914]; protein phosphorylation [GO:0006468]	GO:0004674; GO:0005524; GO:0006468; GO:0006914
A0A3S0ZVX7	A0A3S0ZVX7_ELYCH	WD repeat domain phosphoinositide-interacting protein 3	EGW08_004922	344			
A0A3S0ZVX8	A0A3S0ZVX8_ELYCH	Uncharacterized protein	EGW08_007935	135			
A0A3S0ZVY1	A0A3S0ZVY1_ELYCH	Uncharacterized protein	EGW08_015674	247			
A0A3S0ZVY6	A0A3S0ZVY6_ELYCH	DUF19 domain-containing protein	EGW08_004871	204			
A0A3S0ZVY7	A0A3S0ZVY7_ELYCH	Uncharacterized protein	EGW08_007906	141		monoatomic ion transport [GO:0006811]	GO:0006811; GO:0016020
A0A3S0ZVZ0	A0A3S0ZVZ0_ELYCH	Uncharacterized protein	EGW08_004123	318			
A0A3S0ZVZ1	A0A3S0ZVZ1_ELYCH	Fanconi anemia core complex-associated protein 24 pseudonuclease domain-containing protein	EGW08_015663	191		interstrand cross-link repair [GO:0036297]	GO:0036297; GO:0043240
A0A3S0ZVZ4	A0A3S0ZVZ4_ELYCH	Ig-like domain-containing protein	EGW08_004887	946			
A0A3S0ZVZ5	A0A3S0ZVZ5_ELYCH	Reverse transcriptase domain-containing protein	EGW08_007927	316			
A0A3S0ZVZ9	A0A3S0ZVZ9_ELYCH	Uncharacterized protein	EGW08_004137	122			
A0A3S0ZW01	A0A3S0ZW01_ELYCH	EXPERA domain-containing protein	EGW08_015645	390			GO:0016020
A0A3S0ZW02	A0A3S0ZW02_ELYCH	Fibronectin type-III domain-containing protein	EGW08_004830	554			
A0A3S0ZW07	A0A3S0ZW07_ELYCH	Uncharacterized protein	EGW08_007887	106			GO:0016020
A0A3S0ZW08	A0A3S0ZW08_ELYCH	Shugoshin C-terminal domain-containing protein	EGW08_004155	455			
A0A3S0ZW09	A0A3S0ZW09_ELYCH	Protein phosphatase 1 regulatory subunit 7	EGW08_004847	615			
A0A3S0ZW10	A0A3S0ZW10_ELYCH	Tantalus-like domain-containing protein	EGW08_015626	898			
A0A3S0ZW14	A0A3S0ZW14_ELYCH	Uncharacterized protein	EGW08_007840	320			GO:0016020
A0A3S0ZW16	A0A3S0ZW16_ELYCH	Fe2OG dioxygenase domain-containing protein	EGW08_004794	405			
A0A3S0ZW17	A0A3S0ZW17_ELYCH	C-type lectin domain-containing protein	EGW08_004171	109			
A0A3S0ZW19	A0A3S0ZW19_ELYCH	Major facilitator superfamily (MFS) profile domain-containing protein	EGW08_015609	353			GO:0016020; GO:0022857
A0A3S0ZW24	A0A3S0ZW24_ELYCH	PPM-type phosphatase domain-containing protein	EGW08_004812	159			GO:0043169
A0A3S0ZW25	A0A3S0ZW25_ELYCH	J domain-containing protein	EGW08_007856	295			
A0A3S0ZW28	A0A3S0ZW28_ELYCH	Uncharacterized protein	EGW08_004096	299			
A0A3S0ZW30	A0A3S0ZW30_ELYCH	Arrestin-like N-terminal domain-containing protein	EGW08_004774	129			
A0A3S0ZW33	A0A3S0ZW33_ELYCH	Peptidase S1 domain-containing protein	EGW08_007790	91		proteolysis [GO:0006508]	GO:0004252; GO:0006508
A0A3S0ZW40	A0A3S0ZW40_ELYCH	Major facilitator superfamily (MFS) profile domain-containing protein	EGW08_004113	194			GO:0016020; GO:0022857
A0A3S0ZW43	A0A3S0ZW43_ELYCH	Uncharacterized protein	EGW08_007807	152			GO:0016020
A0A3S0ZW46	A0A3S0ZW46_ELYCH	VWFD domain-containing protein	EGW08_004747	1386			
A0A3S0ZW47	A0A3S0ZW47_ELYCH	C-type lectin domain-containing protein	EGW08_015532	897			GO:0016020
A0A3S0ZW50	A0A3S0ZW50_ELYCH	Uncharacterized protein	EGW08_004070	383			
A0A3S0ZW53	A0A3S0ZW53_ELYCH	Uncharacterized protein	EGW08_004763	187			
A0A3S0ZW57	A0A3S0ZW57_ELYCH	ABC transmembrane type-1 domain-containing protein	EGW08_015524	107			GO:0016020
A0A3S0ZW61	A0A3S0ZW61_ELYCH	Uncharacterized protein	EGW08_004699	159			
A0A3S0ZW63	A0A3S0ZW63_ELYCH	Uncharacterized protein	EGW08_004019	246			
A0A3S0ZW67	A0A3S0ZW67_ELYCH	Uncharacterized protein	EGW08_007770	506			GO:0016020
A0A3S0ZW68	A0A3S0ZW68_ELYCH	Uncharacterized protein	EGW08_004718	118			
A0A3S0ZW75	A0A3S0ZW75_ELYCH	Reverse transcriptase domain-containing protein	EGW08_015487	127			
A0A3S0ZW76	A0A3S0ZW76_ELYCH	Major facilitator superfamily (MFS) profile domain-containing protein	EGW08_007727	492			GO:0016020; GO:0022857
A0A3S0ZW81	A0A3S0ZW81_ELYCH	G-protein coupled receptors family 1 profile domain-containing protein	EGW08_015454	220			GO:0004930; GO:0016020
A0A3S0ZW90	A0A3S0ZW90_ELYCH	Uncharacterized protein	EGW08_004005	225			GO:0005516; GO:0008017
A0A3S0ZW91	A0A3S0ZW91_ELYCH	Uncharacterized protein	EGW08_007697	113			
A0A3S0ZW95	A0A3S0ZW95_ELYCH	Uncharacterized protein	EGW08_015409	306			
A0A3S0ZW99	A0A3S0ZW99_ELYCH	Uncharacterized protein	EGW08_003958	117			GO:0016020
A0A3S0ZWA0	A0A3S0ZWA0_ELYCH	Uncharacterized protein	EGW08_007649	140			GO:0016020
A0A3S0ZWA7	A0A3S0ZWA7_ELYCH	Isobutyryl-CoA dehydrogenase, mitochondrial	EGW08_004669	422		lipid metabolic process [GO:0006629]	GO:0003995; GO:0006629; GO:0050660
A0A3S0ZWA8	A0A3S0ZWA8_ELYCH	Uncharacterized protein	EGW08_007664	139			
A0A3S0ZWB1	A0A3S0ZWB1_ELYCH	Cleavage/polyadenylation specificity factor A subunit C-terminal domain-containing protein	EGW08_003978	1452			GO:0003676; GO:0005634
A0A3S0ZWB2	A0A3S0ZWB2_ELYCH	J domain-containing protein	EGW08_015385	537			GO:0016020
A0A3S0ZWB4	A0A3S0ZWB4_ELYCH	Polycystin cation channel PKD1/PKD2 domain-containing protein	EGW08_004628	193			GO:0016020
A0A3S0ZWB5	A0A3S0ZWB5_ELYCH	Ig-like domain-containing protein	EGW08_007682	326			GO:0016020
A0A3S0ZWB7	A0A3S0ZWB7_ELYCH	WH2 domain-containing protein	EGW08_003932	430			
A0A3S0ZWB8	A0A3S0ZWB8_ELYCH	Kazal-like domain-containing protein	EGW08_015361	211			
A0A3S0ZWC2	A0A3S0ZWC2_ELYCH	STI1 domain-containing protein	EGW08_007636	323			
A0A3S0ZWC4	A0A3S0ZWC4_ELYCH	Uncharacterized protein	EGW08_004649	301			GO:0016020
A0A3S0ZWC8	A0A3S0ZWC8_ELYCH	JmjC domain-containing protein	EGW08_015343	525			
A0A3S0ZWD0	A0A3S0ZWD0_ELYCH	Histone H5	EGW08_003945	201		nucleosome assembly [GO:0006334]	GO:0000786; GO:0003677; GO:0006334; GO:0030527
A0A3S0ZWD1	A0A3S0ZWD1_ELYCH	26S proteasome non-ATPase regulatory subunit 5	EGW08_007600	509		proteasome assembly [GO:0043248]	GO:0043248
A0A3S0ZWD3	A0A3S0ZWD3_ELYCH	Uncharacterized protein	EGW08_004608	120			
A0A3S0ZWD7	A0A3S0ZWD7_ELYCH	Uncharacterized protein	EGW08_015322	216			
A0A3S0ZWD9	A0A3S0ZWD9_ELYCH	Adhesin domain-containing protein	EGW08_007616	191			
A0A3S0ZWE0	A0A3S0ZWE0_ELYCH	Peptidase A1 domain-containing protein	EGW08_004622	418		proteolysis [GO:0006508]	GO:0004190; GO:0006508
A0A3S0ZWE5	A0A3S0ZWE5_ELYCH	Uncharacterized protein	EGW08_003912	153			
A0A3S0ZWE7	A0A3S0ZWE7_ELYCH	Uncharacterized protein	EGW08_007589	112			
A0A3S0ZWF6	A0A3S0ZWF6_ELYCH	BZIP domain-containing protein	EGW08_007555	359			GO:0003700
A0A3S0ZWF7	A0A3S0ZWF7_ELYCH	Uncharacterized protein	EGW08_015286	238			
A0A3S0ZWG1	A0A3S0ZWG1_ELYCH	Uncharacterized protein	EGW08_004543	113			GO:0005272; GO:0016020
A0A3S0ZWG3	A0A3S0ZWG3_ELYCH	Uncharacterized protein	EGW08_003883	280			GO:0016020
A0A3S0ZWG5	A0A3S0ZWG5_ELYCH	TatD related DNase	EGW08_007533	322			GO:0016788
A0A3S0ZWG6	A0A3S0ZWG6_ELYCH	Homeobox domain-containing protein	EGW08_015249	187		spinal cord motor neuron cell fate specification [GO:0021520]	GO:0000981; GO:0003677; GO:0005634; GO:0021520
A0A3S0ZWH0	A0A3S0ZWH0_ELYCH	Uncharacterized protein	EGW08_004554	105			
A0A3S0ZWH3	A0A3S0ZWH3_ELYCH	Uncharacterized protein	EGW08_007506	163			GO:0000139; GO:0016757
A0A3S0ZWH4	A0A3S0ZWH4_ELYCH	Uncharacterized protein	EGW08_015231	592		interstrand cross-link repair [GO:0036297]	GO:0036297; GO:0043240
A0A3S0ZWI4	A0A3S0ZWI4_ELYCH	G-protein coupled receptors family 1 profile domain-containing protein	EGW08_015203	319			GO:0016020
A0A3S0ZWI6	A0A3S0ZWI6_ELYCH	Uncharacterized protein	EGW08_007481	118			
A0A3S0ZWI8	A0A3S0ZWI8_ELYCH	Claudin	EGW08_004497	294			GO:0016020
A0A3S0ZWJ4	A0A3S0ZWJ4_ELYCH	Uncharacterized protein	EGW08_015181	242			
A0A3S0ZWJ5	A0A3S0ZWJ5_ELYCH	Nucleotide exchange factor SIL1	EGW08_004437	486			GO:0000774; GO:0005783
A0A3S0ZWJ8	A0A3S0ZWJ8_ELYCH	Uncharacterized protein	EGW08_003779	202			
A0A3S0ZWK1	A0A3S0ZWK1_ELYCH	DUS-like FMN-binding domain-containing protein	EGW08_015170	142			
A0A3S0ZWL1	A0A3S0ZWL1_ELYCH	Uncharacterized protein	EGW08_003793	235			
A0A3S0ZWL5	A0A3S0ZWL5_ELYCH	SRCR domain-containing protein	EGW08_004409	1849			GO:0005044; GO:0016020
A0A3S0ZWL8	A0A3S0ZWL8_ELYCH	Sister chromatid cohesion protein DCC1	EGW08_015137	472		DNA replication [GO:0006260]; mitotic sister chromatid cohesion [GO:0007064]	GO:0006260; GO:0007064; GO:0031390
A0A3S0ZWM0	A0A3S0ZWM0_ELYCH	Voltage-dependent calcium channel alpha-2/delta subunit conserved region domain-containing protein	EGW08_003735	686			
A0A3S0ZWM3	A0A3S0ZWM3_ELYCH	Thiopurine S-methyltransferase	EGW08_004426	235		methylation [GO:0032259]	GO:0008757; GO:0032259
A0A3S0ZWM5	A0A3S0ZWM5_ELYCH	Protein kinase domain-containing protein	EGW08_015130	339		protein phosphorylation [GO:0006468]	GO:0004672; GO:0005524; GO:0006468; GO:0016020
A0A3S0ZWM6	A0A3S0ZWM6_ELYCH	PKD domain-containing protein	EGW08_003749	273			
A0A3S0ZWM9	A0A3S0ZWM9_ELYCH	Uncharacterized protein	EGW08_007422	776			
A0A3S0ZWN0	A0A3S0ZWN0_ELYCH	Ionotropic glutamate receptor C-terminal domain-containing protein	EGW08_004379	256			GO:0015276; GO:0016020
A0A3S0ZWN5	A0A3S0ZWN5_ELYCH	Reverse transcriptase domain-containing protein	EGW08_015091	241			
A0A3S0ZWN9	A0A3S0ZWN9_ELYCH	Reverse transcriptase domain-containing protein	EGW08_004398	334			
A0A3S0ZWP4	A0A3S0ZWP4_ELYCH	F-BAR domain-containing protein	EGW08_015084	322			
A0A3S0ZWP8	A0A3S0ZWP8_ELYCH	Uncharacterized protein	EGW08_004362	682			
A0A3S0ZWQ2	A0A3S0ZWQ2_ELYCH	GS catalytic domain-containing protein	EGW08_007401	151		nitrogen compound metabolic process [GO:0006807]	GO:0004356; GO:0006807
A0A3S0ZWQ3	A0A3S0ZWQ3_ELYCH	Uncharacterized protein	EGW08_003718	314		protein transport [GO:0015031]	GO:0005198; GO:0005764; GO:0015031
A0A3S0ZWQ4	A0A3S0ZWQ4_ELYCH	CCHC-type domain-containing protein	EGW08_015082	425			GO:0003676; GO:0008270
A0A3S0ZWQ7	A0A3S0ZWQ7_ELYCH	Uncharacterized protein	EGW08_004322	346			GO:0016020
A0A3S0ZWQ9	A0A3S0ZWQ9_ELYCH	Uncharacterized protein	EGW08_003655	794			
A0A3S0ZWR1	A0A3S0ZWR1_ELYCH	6-phosphofructo-2-kinase domain-containing protein	EGW08_007348	189		fructose 2,6-bisphosphate metabolic process [GO:0006003]; fructose metabolic process [GO:0006000]	GO:0003873; GO:0005524; GO:0006000; GO:0006003
A0A3S0ZWR4	A0A3S0ZWR4_ELYCH	Major facilitator superfamily (MFS) profile domain-containing protein	EGW08_004337	549			GO:0016020; GO:0022857
A0A3S0ZWR8	A0A3S0ZWR8_ELYCH	Protein kinase domain-containing protein	EGW08_003673	383		protein phosphorylation [GO:0006468]	GO:0004672; GO:0005524; GO:0006468
A0A3S0ZWS2	A0A3S0ZWS2_ELYCH	DUF393 domain-containing protein	EGW08_007362	195			GO:0015035
A0A3S0ZWS3	A0A3S0ZWS3_ELYCH	RING-type domain-containing protein	EGW08_004294	1185			GO:0046872
A0A3S0ZWS4	A0A3S0ZWS4_ELYCH	BZIP domain-containing protein	EGW08_015045	710		regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003700; GO:0005634; GO:0006357
A0A3S0ZWS7	A0A3S0ZWS7_ELYCH	LIM interaction domain-containing protein	EGW08_003620	490			GO:0030274
A0A3S0ZWT1	A0A3S0ZWT1_ELYCH	C2 domain-containing protein	EGW08_004231	213			GO:0005544
A0A3S0ZWT3	A0A3S0ZWT3_ELYCH	Uncharacterized protein	EGW08_015038	346			GO:0016020
A0A3S0ZWT4	A0A3S0ZWT4_ELYCH	Uncharacterized protein	EGW08_003643	176			
A0A3S0ZWT7	A0A3S0ZWT7_ELYCH	CCDC92/74 N-terminal domain-containing protein	EGW08_007295	379			
A0A3S0ZWT9	A0A3S0ZWT9_ELYCH	C2H2-type domain-containing protein	EGW08_004249	2565			
A0A3S0ZWU1	A0A3S0ZWU1_ELYCH	Protein kinase domain-containing protein	EGW08_003593	245		protein phosphorylation [GO:0006468]	GO:0004672; GO:0005524; GO:0006468
A0A3S0ZWU4	A0A3S0ZWU4_ELYCH	Uncharacterized protein	EGW08_015007	324			
A0A3S0ZWU9	A0A3S0ZWU9_ELYCH	Apextrin C-terminal domain-containing protein	EGW08_004268	228			
A0A3S0ZWV0	A0A3S0ZWV0_ELYCH	Glutamate receptor	EGW08_003553	1033			GO:0004970; GO:0045211
A0A3S0ZWV1	A0A3S0ZWV1_ELYCH	Prospero domain-containing protein	EGW08_007278	935		cell development [GO:0048468]; nervous system development [GO:0007399]; regulation of DNA-templated transcription [GO:0006355]	GO:0006355; GO:0007399; GO:0048468
A0A3S0ZWV5	A0A3S0ZWV5_ELYCH	BZIP domain-containing protein	EGW08_014988	273			
A0A3S0ZWV8	A0A3S0ZWV8_ELYCH	Phospholipid/glycerol acyltransferase domain-containing protein	EGW08_003569	390			GO:0016020; GO:0016746
A0A3S0ZWW0	A0A3S0ZWW0_ELYCH	Protein kinase domain-containing protein	EGW08_004286	253		protein phosphorylation [GO:0006468]	GO:0004674; GO:0005524; GO:0006468
A0A3S0ZWW1	A0A3S0ZWW1_ELYCH	Uncharacterized protein	EGW08_007226	135			
A0A3S0ZWW3	A0A3S0ZWW3_ELYCH	Golgin subfamily A conserved domain-containing protein	EGW08_014962	306			
A0A3S0ZWW5	A0A3S0ZWW5_ELYCH	Uncharacterized protein	EGW08_003505	142			
A0A3S0ZWW6	A0A3S0ZWW6_ELYCH	Uncharacterized protein	EGW08_004198	620			
A0A3S0ZWX3	A0A3S0ZWX3_ELYCH	Uncharacterized protein	EGW08_007255	490			
A0A3S0ZWX4	A0A3S0ZWX4_ELYCH	Uncharacterized protein	EGW08_004217	273			
A0A3S0ZWX5	A0A3S0ZWX5_ELYCH	UBA domain-containing protein	EGW08_003522	438		proteolysis [GO:0006508]	GO:0004190; GO:0006508
A0A3S0ZWX6	A0A3S0ZWX6_ELYCH	Uncharacterized protein	EGW08_014951	1119			
A0A3S0ZWX8	A0A3S0ZWX8_ELYCH	BHLH domain-containing protein	EGW08_007215	360		regulation of DNA-templated transcription [GO:0006355]	GO:0003677; GO:0006355; GO:0046983
A0A3S0ZWY1	A0A3S0ZWY1_ELYCH	Uncharacterized protein	EGW08_004121	128			
A0A3S0ZWY3	A0A3S0ZWY3_ELYCH	Reverse transcriptase domain-containing protein	EGW08_014932	520			
A0A3S0ZWY8	A0A3S0ZWY8_ELYCH	Uncharacterized protein	EGW08_007189	135			
A0A3S0ZWZ0	A0A3S0ZWZ0_ELYCH	Uncharacterized protein	EGW08_003465	264			
A0A3S0ZWZ2	A0A3S0ZWZ2_ELYCH	VWFC domain-containing protein	EGW08_004135	160			
A0A3S0ZWZ3	A0A3S0ZWZ3_ELYCH	Uncharacterized protein	EGW08_014902	188			
